title,job_id,level,job_url,keyword,location,description
BA MAS Microsoft FS Senior Associate,JR111477,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/BA-MAS-Microsoft-FS-Senior-Associate_JR111477?q=Microsoft%20Dynamics,Microsoft Dynamics,"Hyderabad, Bengaluru","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
BA MAS Microsoft BC Senior Associate,JR105569,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/BA-MAS-Microsoft-BC-Senior-Associate_JR105569?q=Microsoft%20Dynamics,Microsoft Dynamics,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
BA D365 CE Sr. Associate,JR109443,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Microsoft-Customer-Engagement-Senior-Consultant_JR109443?q=Microsoft%20Dynamics,Microsoft Dynamics,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Pre-Sales Engineer Director (Microsoft Dynamics 365 - Supply Chain Management),JR113707,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Toronto/Pre-Sales-Engineer-Director--Microsoft-Dynamics-365---Supply-Chain-Management-_JR113707?q=Power%20Platform,Power Platform,"Toronto, CAN-BC-Virtual, CAN-ON-Virtual, CAN-AB-Virtual","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"IT Infrastructure Platform Engineer, Senior - 1000",JR106580,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Remote/IT-Infrastructure-DevOps-Engineer--Senior_JR106580?q=Power%20Platform,Power Platform,Remote,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Associate 2 - Platform Enabled Tax Consulting,JR113850,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Bengaluru/Associate-2---Platform-Enabled-Tax-Consulting_JR113850?q=Power%20Platform,Power Platform,"Bengaluru, Hyderabad","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Senior Associate 1 - Platform Enabled Tax Consultant,JR113851,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Bengaluru/Senior-Associate-1---Platform-Enabled-Tax-Consultant_JR113851?q=Power%20Platform,Power Platform,"Bengaluru, Hyderabad","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Manager, Microsoft Dynamics 365 Enterprise",JR113679,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Manager--Microsoft-Dynamics-365-Enterprise_JR113679?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Microsoft CE Technical Manager,JR112009,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Microsoft-CE-Technical-Manager_JR112009?q=Power%20Platform,Power Platform,"Hyderabad, Bengaluru","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Associate - SALT Transaction Tax and Automation,JR113779,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/San-Salvador/Associate---SALT-Transaction-Tax-and-Automation_JR113779?q=Power%20Platform,Power Platform,San Salvador,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Senior Associate - SALT Transaction Tax & Automation,JR113788,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/San-Salvador/Senior-Associate---SALT-Transaction-Tax---Automation_JR113788?q=Power%20Platform,Power Platform,San Salvador,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Unified Communications Engineer Sr. 1,JR113807,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Unified-Communications-Engineer-Sr-1_JR113807?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Risk Consulting Senior Associate, Senior DevSecOps Engineer (Location Flexible/Remote)",JR112647,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Dallas/Risk-Consulting-Supervisor--Senior-DevSecOps-Engineer_JR112647?q=Power%20Platform,Power Platform,"Dallas, Atlanta Metro Area, Charlotte","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Risk Consulting Supervisor, Senior Cloud Transformation Architect (Location Flexible/Remote)",JR112649,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/USA-OH-Cleveland-127-Public-Square-Suite-2300/Risk-Consulting-Manager--Senior-Cloud-Transformation-Architect_JR112649?q=Power%20Platform,Power Platform,"USA-OH-Cleveland-127 Public Square, Suite 2300, Atlanta Metro Area, Charlotte, Salt Lake City","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Software Engineer Senior 1,JR113736,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Software-Engineer-Senior-1_JR113736?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Infrastructure Engineer – Platform 1,JR113733,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Infrastructure-Engineer---Platform-1_JR113733?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Financial Consulting Senior Associate - Fund Services+,JR113640,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Gurugram/Financial-Consulting-Senior-Associate---Fund-Services-_JR113640?q=Power%20Platform,Power Platform,Gurugram,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Pre-Sales Engineer Director (Microsoft Dynamics 365 - Supply Chain Management),JR110422,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Chicago/Pre-Sales-Engineer-Director--Microsoft-Dynamics-365---Supply-Chain-Management--_JR110422?q=Power%20Platform,Power Platform,"Chicago, Los Angeles, Seattle, Atlanta Metro Area, St. Louis","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
ServiceNow Supervisor,JR113556,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Chicago/Cyber-Strategy-ServiceNow-Supervisor_JR113556?q=Power%20Platform,Power Platform,"Chicago, All Locations - US","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
ServiceNow Sr. Associate,JR112506,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Toronto/Cyber-Strategy-Senior-Associate_JR112506?q=Power%20Platform,Power Platform,Toronto,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
ServiceNow Associate,JR111781,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Edmonton/Business-Applications-ServiceNow-Supervisor_JR111781?q=Power%20Platform,Power Platform,"Edmonton, Calgary","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Financial Consulting Supervisor 1 - Technical Delivery,JR112750,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Gurugram/Financial-Consulting-Supervisor-1---Technical-Delivery_JR112750?q=Power%20Platform,Power Platform,Gurugram,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Supervisor, Data Analytics & BI Engineer",JR113613,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Supervisor--Data-Analytics---BI-Engineer_JR113613?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Unified Communications Admin 1,JR113608,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Unified-Communications-Admin-1_JR113608?q=Power%20Platform,Power Platform,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Microsoft Finance & Supply Chain Supervisor,JR113367,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Toronto/Microsoft-Finance---Supply-Chain-Supervisor_JR113367?q=Power%20Platform,Power Platform,"Toronto, Kitchener","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
